Q18,Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q23_6_TEXT,Q24,Q24_6_TEXT,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q34_4_TEXT,Q35,Q35_7_TEXT
Please check all that apply to continue,Have any of your personal online accounts ever been hacked or did an unauthorized person log into one of your accounts?,Do you know what 2 factor authentication (also called multi-factor authentication and 2FA) is?,Do you have 2 factor authentication (also called multi-factor authentication) set up for one or more of your online accounts?,Does any of your online accounts require you to enter a security code sent to you via text message or email to login?,Was it easy to set up?,Is it easy to use?,Does any of your online accounts require you to confirm your login via a prompt on your phone?,Was it easy to set up?,Is it easy to use?,Does any of your online accounts require you to provide a code from an app on your phone to login,Was it easy to set up?,Was it easy to use?,Does any of your online accounts require you to provide a code from an external device dedicated to that purpose to login,Was it easy to set up?,Is it easy to use?,"When you connect to one of your online accounts, do you need to insert a usb device into your computer to confirm you identity?",Was it easy to set up?,Is it easy to use?,Did you enable 2 Factor Authentication for your Google or Facebook account?,Which method of 2 Factor Authentication do you use? (You can select multiples) - Selected Choice,Which method of 2 Factor Authentication do you use? (You can select multiples) - Other - Text,Are there any inconveniences to using 2FA? (You can select multiples) - Selected Choice,Are there any inconveniences to using 2FA? (You can select multiples) - Other - Text,Why did you enable 2 factor authentication?,Why did you not enable 2 factor authentication?,Do you use Google or Facebook to log into other account? Did you register for some other accounts using your Google or Facebook account?,What is the highest level of education you have completed?,How old are you?,What field is your current profession in?,What gender do you identify to?,What are your political preferences? - Selected Choice,What are your political preferences? - Other - Text,Where do you get your news from? (You can select multiples) - Selected Choice,Where do you get your news from? (You can select multiples) - Other - Text
"{""ImportId"":""QID18""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_6_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_4_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_7_TEXT""}"
"1,2,4",1,1,1,1,2,1,1,2,1,2,,,2,,,2,,,4,,,,,,It takes too much time and is complicated to use,1,6,3,16,2,2,,"1,2,4",
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4",2,1,1,1,1,1,1,1,1,2,,,2,,,2,,,1,"1,2",,"2,3,4",,"My sister's social media account got hacked, so I made sure to keep all of my accounts secure.",,1,2,2,6,2,2,,"1,2",
"1,2,4",2,1,1,1,1,1,1,1,1,3,,,3,,,2,,,4,,,,,,Do not have any personal info there,2,2,7,17,2,2,,"2,4",
"1,2,4",2,1,1,1,1,1,1,1,1,1,1,1,2,,,2,,,2,"1,2",,2,,I feel it’s a relatively easy way to help improve security. ,,2,5,3,4,2,2,,"2,4,5",
"1,2,4",2,1,1,1,1,1,1,1,3,2,,,2,,,2,,,2,1,,1,,There is a lot of sensitive personal information as well as information about friends and the ability to contact them and scam them thinking it is really me,,2,4,3,15,3,4,Liberal,"1,2,4,6",
"1,2,4",2,1,1,1,1,3,2,,,1,1,2,2,,,2,,,4,,,,,,Its annoying,2,5,2,14,1,3,,4,
"1,2,4",2,1,1,1,1,3,1,1,3,2,,,2,,,2,,,4,,,,,,Too lazy lol ,1,3,2,14,1,2,,"1,4",
"1,2,4",2,1,1,2,,,2,,,2,,,2,,,2,,,4,,,,,,it is a pain,2,1,5,15,1,2,,2,
"1,2,4",2,1,1,1,1,1,1,1,1,1,1,1,2,,,2,,,3,"1,3,4",,1,,i have read and hear from people in the cybersecurity field who encourage 2fa because it is more secure. i want to protect my accounts.,,1,5,3,9,2,2,,"1,6",
"1,2,4",2,1,1,1,1,1,1,1,1,1,1,1,2,,,2,,,1,1,,2,,Better protection for my google account,,2,5,3,14,1,2,,4,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4",2,1,1,1,1,1,1,2,1,2,,,2,,,2,,,4,,,,,,I couldn't figure out how to set it up for facebook and never thought about it for my Google account.,1,6,3,14,2,4,Independent,"1,2,4,5",
"1,2,4",1,1,1,1,1,1,1,1,1,3,,,2,,,2,,,1,"1,2",,"1,2",,"It's easy enough and I think being able to see security at work puts my mind more at ease. It's tangible i am apart of the process, it's reassuring ",,1,3,3,10,1,2,,"4,6",
"1,2,4",1,1,1,1,1,1,1,1,1,1,1,1,2,,,2,,,1,4,,"2,3,4",,"Kept getting locked out of my account due to forgetting my password, it’s easier to prove it’s me by them sending me a code ",,1,4,2,16,2,2,,"1,2,4",
"1,2,4",1,1,1,1,1,1,1,3,1,2,,,1,1,1,2,,,1,"1,2,4",,5,,I was notified that a lot of my passwords were compromised and a few of my accounts got hacked. ,,3,4,2,14,2,2,,"1,2",
"1,2,4",1,1,1,1,1,1,1,1,1,2,,,1,1,1,2,,,4,,,,,,I just did not think it was worth the hassle for them.,1,5,3,15,1,3,,"1,2,4,6",
"1,2,4",1,1,1,1,1,1,1,1,1,1,1,1,2,,,2,,,1,1,,3,,"For safety. Especially google, where I save my photos I don’t want to lose.",,2,3,3,9,1,2,,"1,2,3,4,5,6",
"1,2,4",1,1,1,1,1,1,1,3,2,1,2,2,2,,,2,,,1,"1,2",,"3,4",,To prevent my accounts from getting hacked.,,1,3,2,15,1,2,,"1,2,3,4,5,6",
"1,2,4",1,1,1,1,1,1,2,,,2,,,2,,,2,,,4,,,,,,I'm lazy sometimes.,1,5,2,2,2,2,,1,
"1,2,4",1,1,1,1,1,1,1,1,1,1,1,1,2,,,2,,,1,"1,4",,,,It increases security.,,2,4,4,15,1,1,,1,
"1,2,4",1,1,1,1,1,2,1,1,2,2,,,2,,,2,,,1,4,,2,,"For app integrations w/ google (app passwords), better security",,1,3,2,6,1,3,,"1,2,4",
"1,2,4",1,1,1,1,1,1,1,1,1,1,1,1,2,,,2,,,4,,,,,,If someone gets the credentials to my email accounts I have concerns elsewhere. I don't care about nor use Facebook.,1,5,3,15,1,4,Further left than Democrats,"1,2,4",
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4",2,1,1,1,1,1,1,1,1,1,1,1,2,,,2,,,1,"1,2,3,4",,,,Better to be safe than sorry,,2,4,3,3,1,1,,"1,4,6",
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,4",1,1,1,1,1,1,1,1,1,2,,,2,,,2,,,4,,,,,,Might not be able to log in at times,1,3,4,6,2,1,,"1,4,5",
"1,2,4",1,1,1,1,1,1,1,1,1,2,,,2,,,2,,,1,1,,"2,3",,After being hacked previously ,,3,5,3,13,2,2,,"1,2,6",
"1,2,4",2,1,1,1,1,1,2,,,1,1,1,2,,,2,,,1,1,,6,n/a,safety reasons ,,2,5,2,16,2,2,,"1,2,4",
