Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q23_6_TEXT,Q24,Q24_6_TEXT,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q34_4_TEXT,Q35,Q35_7_TEXT
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Neither,,,,,,I just want to access my account,No,"Some college, but no degree",25-34 years old,Management Occupations,Female,Republican,,"Social Media,Online news sites,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,No,,,Both,Text message to your phone,,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service",,"It was required,It was automatic,To secure my account",,Yes,Bachelor’s degree,25-34 years old,Business and Financial Operations Occupations,Female,Democrat,,"Social Media,Online news sites,Radio,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No opinion,I don't know,,,No,,,No,,,Google,"Text message to your phone,An “Approve” or “Deny” notification",,It's too time consuming,,"It was required,To secure my account",,Yes,High school diploma or GED,18-24 years old,"Computer, Engineering, and Science Occupations",Male,Democrat,,"Social Media,Online news sites",
Yes,Yes,Yes,Yes,Yes,No opinion,Yes,Yes,No,Yes,I don't remember,No,Yes,I don't remember,No,No,,,Neither,,,,,,I just want to access my account,Yes,Bachelor’s degree,25-34 years old,Business and Financial Operations Occupations,Female,Democrat,,"TV,Printed newspapers,Online news sites,Podcasts",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Neither,,,,,,I just want to access my account,Yes,High school diploma or GED,18-24 years old,Student,Male,Independent,,"Social Media,TV,Online news sites",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Google,An “Approve” or “Deny” notification,,,,To secure my account,,Yes,Bachelor’s degree,18-24 years old,No profession,Female,Democrat,,Social Media,
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,An “Approve” or “Deny” notification,,"Time is too short to input code,I could not connect because I did not have my phone/secondary device",,To secure my account,,No,"Some college, but no degree",25-34 years old,Business and Financial Operations Occupations,Male,Democrat,,"Social Media,TV",
Yes,Yes,Yes,Yes,Yes,Yes,I don't know,,,Yes,I don't remember,Yes,No,,,No,,,Neither,,,,,,I just want to access my account,No,Bachelor’s degree,55-64 years old,Sales and Office Occupations,Female,Republican,,Online news sites,
I don't know,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,No,,,No,,,Google,Text message to your phone,,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service",,To secure my account,,Yes,Associates or technical degree,18-24 years old,Building and Grounds Cleaning and Maintenance Occupations,Male,Independent,,"Online news sites,Podcasts",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Both,"Text message to your phone,Code sent to your email",,Other,No,"It was required,To secure my account",,I don't know,Bachelor’s degree,35-44 years old,"Education, Legal, Community Service, Arts, and Media Occupations",Female,Democrat,,"Social Media,Online news sites",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,Text message to your phone,,Time is too short to input code,,To secure my account,,Yes,Some high school or less,18-24 years old,Food preparation and serving occupation,Male,Independent,,"Social Media,TV,Online news sites,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Google,"Text message to your phone,A one time passcode from an app",,Other,None ,It was automatic,,Yes,Bachelor’s degree,35-44 years old,Homemaker,Female,Democrat,,"Social Media,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,,,No,,,Neither,,,,,,I just want to access my account,Yes,Bachelor’s degree,18-24 years old,Student,Male,Democrat,,"Social Media,TV,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,No,,,No,,,Both,"Text message to your phone,Code sent to your email,A one time passcode from an app",,I could not connect because I had no cellular service/internet service,,To secure my account,,Yes,Bachelor’s degree,25-34 years old,Sales and Office Occupations,Female,Democrat,,"Social Media,Online news sites",
I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,,,I don't know,,,No,,,Neither,,,,,,I just want to access my account,No,High school diploma or GED,25-34 years old,No profession,Male,Independent,,"Social Media,TV,Online news sites,Podcasts",
